Local,População no último censo,geometry,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Duartina, 12251,,12251,12373.51,12496.73,12620.96,12746.2,12873.46,13001.73,13131.01,13262.31,13394.62,13527.94
Dumont, 8143,,8143,8224.43,8306.24,8389.06,8472.89,8556.72,8641.56,8727.41,8814.27,8902.14,8991.02
Echaporã, 6318,,6318,6381.18,6444.81,6508.44,6573.08,6638.73,6704.38,6771.04,6838.71,6906.38,6975.06
Eldorado, 14641,,14641,14787.41,14934.87,15083.34,15233.83,15385.33,15538.85,15693.38,15849.93,16007.49,16167.07
Elias Fausto, 15775,,15775,15932.75,16091.32,16251.91,16413.51,16577.13,16742.77,16909.42,17078.09,17248.78,17420.48
Elisiário, 3120,,3120,3151.2,3182.51,3213.82,3245.13,3277.45,3309.77,3342.09,3375.42,3408.75,3442.08
Embaúba, 2423,,2423,2447.23,2471.47,2495.71,2519.95,2544.19,2569.44,2594.69,2619.94,2645.19,2671.45
Embu das Artes, 240230,,240230,242632.3,245058.32,247508.58,249983.08,252482.83,255006.82,257556.06,260131.56,262732.31,265359.32
Embu-Guaçu, 62769,,62769,63396.69,64029.96,64669.29,65315.69,65968.15,66627.68,67293.27,67965.93,68644.65,69330.44
Engenheiro Coelho, 15721,,15721,15878.21,16036.78,16196.36,16357.96,16520.57,16685.2,16851.85,17019.51,17189.19,17360.89
Espírito Santo do Pinhal, 41907,,41907,42326.07,42749.26,43176.49,43607.76,44043.07,44483.43,44927.83,45376.27,45829.76,46287.29
Espírito Santo do Turvo, 4244,,4244,4286.44,4328.86,4371.28,4414.71,4458.14,4502.58,4547.02,4592.47,4637.92,4683.37
Estrela d'Oeste, 8208,,8208,8290.08,8372.9,8455.72,8539.55,8624.39,8710.24,8797.1,8884.97,8972.84,9061.72
Fartura, 15320,,15320,15473.2,15627.73,15783.27,15940.83,16099.4,16259.99,16421.59,16585.21,16750.85,16917.5
Fernandópolis, 64696,,64696,65342.96,65995.42,66654.95,67320.54,67993.2,68672.93,69358.72,70051.58,70751.51,71458.51
Fernando Prestes, 5534,,5534,5589.34,5644.89,5700.44,5757.0,5814.57,5872.14,5930.72,5989.3,6048.89,6108.48
Fernão, 1563,,1563,1578.63,1593.78,1608.93,1624.08,1640.24,1656.4,1672.56,1688.72,1704.88,1721.04
Ferraz de Vasconcelos, 168306,,168306,169989.06,171688.89,173404.88,175138.04,176889.38,178657.89,180443.57,182247.43,184069.47,185909.69
Floreal, 3003,,3003,3033.03,3063.33,3093.63,3123.93,3154.23,3185.54,3216.85,3248.16,3280.48,3312.8
Flórida Paulista, 12848,,12848,12976.48,13105.76,13236.05,13368.36,13501.68,13636.01,13772.36,13909.72,14048.09,14188.48
Florínea, 2829,,2829,2857.29,2885.57,2913.85,2942.13,2971.42,3000.71,3030.0,3060.3,3090.6,3120.9
Franca, 318640,,318640,321826.4,325044.26,328294.44,331576.94,334891.76,338239.91,341621.39,345037.21,348487.37,351971.87
Francisco Morato, 154472,,154472,156016.72,157576.16,159151.76,160742.51,162349.42,163972.49,165611.72,167267.11,168939.67,170628.39
Franco da Rocha, 131604,,131604,132920.04,134249.2,135591.49,136946.91,138315.46,139698.15,141094.98,142504.94,143929.04,145368.29
